Run: train_area_004_scenario_001_farsite
Farsite Fire Growth
	Note: Ignition acreage included
Ignition Acres: 3.01

Elapsed (DD HH:mm) 	Current(MM/DD HH:mm) 	Fires 	Enclaves 	Total Acres	Timestep Acres
 00 00:00 	Ignition
 00 01:00 		05/01 13:00 	        2 	        1 	    30.52	    27.51
 00 02:00 		05/01 14:00 	        3 	        2 	    75.14	    44.62
