Run: gen_area_007_scenario_002
Farsite Fire Growth
	Note: Ignition acreage included
Ignition Acres: 4.99

Elapsed (DD HH:mm) 	Current(MM/DD HH:mm) 	Fires 	Enclaves 	Total Acres	Timestep Acres
 00 00:00 	Ignition
 00 01:00 		05/01 13:00 	        1 	        0 	    43.93	    38.94
 00 02:00 		05/01 14:00 	        1 	        0 	   127.47	    83.54
