run,episodes,final_stage,ppo_updates,last_task_score_percent,last_coverage_percent,last_success_percent,last_timeout_percent,auc_task_score_percent,steps_to_threshold,tail_task_score_std_percent,kl_overshoot_percent
Fixed_LR_CTDE_PPO_seed42,400,1,11,39.560132,31.448263,53.000000,47.000000,29.676509,,38.034469,0.000000
KL_LR_CTDE_PPO_seed42,400,1,11,41.529634,34.245269,54.000000,46.000000,28.918077,,38.629890,0.000000
