Run: gen_area_006_scenario_005
Farsite Fire Growth
	Note: Ignition acreage included
Ignition Acres: 3.93

Elapsed (DD HH:mm) 	Current(MM/DD HH:mm) 	Fires 	Enclaves 	Total Acres	Timestep Acres
 00 00:00 	Ignition
 00 01:00 		05/01 13:00 	        5 	        2 	    65.37	    61.44
 00 02:00 		05/01 14:00 	       16 	       13 	   176.02	   110.65
