Run: train_area_003_scenario_005_farsite
Farsite Fire Growth
	Note: Ignition acreage included
Ignition Acres: 7.62

Elapsed (DD HH:mm) 	Current(MM/DD HH:mm) 	Fires 	Enclaves 	Total Acres	Timestep Acres
 00 00:00 	Ignition
 00 01:00 		05/01 13:00 	        4 	        1 	    93.39	    85.76
 00 02:00 		05/01 14:00 	       10 	        7 	   192.71	    99.32
