Run: train_area_003_scenario_006_farsite
Farsite Fire Growth
	Note: Ignition acreage included
Ignition Acres: 6.55

Elapsed (DD HH:mm) 	Current(MM/DD HH:mm) 	Fires 	Enclaves 	Total Acres	Timestep Acres
 00 00:00 	Ignition
 00 01:00 		05/01 13:00 	        8 	        6 	    68.93	    62.38
 00 02:00 		05/01 14:00 	        9 	        7 	   154.68	    85.75
