run,episodes,final_stage,ppo_updates,last_task_score_percent,last_coverage_percent,last_success_percent,last_timeout_percent,auc_task_score_percent,steps_to_threshold,tail_task_score_std_percent,kl_overshoot_percent
Fixed_LR_CTDE_PPO_seed42,400,1,23,51.538683,41.338700,63.000000,37.000000,29.423809,73871.000000,41.700930,0.000000
KL_LR_CTDE_PPO_seed42,550,2,31,52.907617,38.602567,70.000000,30.000000,30.540206,73469.000000,36.134715,0.000000
