Run: train_area_002_scenario_001_farsite
Farsite Fire Growth
	Note: Ignition acreage included
Ignition Acres: 4.93

Elapsed (DD HH:mm) 	Current(MM/DD HH:mm) 	Fires 	Enclaves 	Total Acres	Timestep Acres
 00 00:00 	Ignition
 00 01:00 		05/01 13:00 	        1 	        0 	    27.83	    22.90
 00 02:00 		05/01 14:00 	        5 	        4 	    88.84	    61.01
