Run: train_area_001_scenario_004_farsite
Farsite Fire Growth
	Note: Ignition acreage included
Ignition Acres: 2.61

Elapsed (DD HH:mm) 	Current(MM/DD HH:mm) 	Fires 	Enclaves 	Total Acres	Timestep Acres
 00 00:00 	Ignition
 00 01:00 		05/01 13:00 	        4 	        2 	   157.13	   154.52
