run,episodes,mean_reward,mean_task_score_percent,mean_coverage_percent,success_percent,timeout_percent,zero_coverage_timeout_percent,mean_steps,mean_info_gain
Fixed_LR_CTDE_PPO_seed42,600,-70.752186,25.957556,30.240667,25.000000,75.000000,31.666667,499.883333,0.000000
KL_LR_CTDE_PPO_seed42,600,-40.843229,41.616666,43.910665,45.333333,54.666667,15.166667,418.160000,0.000000
