Run: stress_area_008_scenario_004
Farsite Fire Growth
	Note: Ignition acreage included
Ignition Acres: 5.31

Elapsed (DD HH:mm) 	Current(MM/DD HH:mm) 	Fires 	Enclaves 	Total Acres	Timestep Acres
 00 00:00 	Ignition
 00 01:00 		05/01 13:00 	        4 	        1 	   287.23	   281.92
 00 02:00 		05/01 14:00 	       16 	       13 	   772.77	   485.54
