run,episodes,final_stage,ppo_updates,last_task_score_percent,last_coverage_percent,last_success_percent,last_timeout_percent,auc_task_score_percent,steps_to_threshold,tail_task_score_std_percent,kl_overshoot_percent
Fixed_LR_CTDE_PPO_seed42,2500,3,130,66.012644,59.502621,79.000000,21.000000,49.522087,6302.000000,27.829592,0.000000
KL_LR_CTDE_PPO_seed42,2500,3,140,62.081389,55.808779,75.000000,25.000000,45.850870,6302.000000,28.460482,0.000000
