Run: train_area_001_scenario_002_farsite
Farsite Fire Growth
	Note: Ignition acreage included
Ignition Acres: 5.01

Elapsed (DD HH:mm) 	Current(MM/DD HH:mm) 	Fires 	Enclaves 	Total Acres	Timestep Acres
 00 00:00 	Ignition
 00 01:00 		05/01 13:00 	        2 	        1 	    87.44	    82.43
 00 02:00 		05/01 14:00 	        4 	        3 	   159.03	    71.59
