Run: train_area_002_scenario_002_farsite
Farsite Fire Growth
	Note: Ignition acreage included
Ignition Acres: 5.80

Elapsed (DD HH:mm) 	Current(MM/DD HH:mm) 	Fires 	Enclaves 	Total Acres	Timestep Acres
 00 00:00 	Ignition
 00 01:00 		05/01 13:00 	        3 	        2 	    45.73	    39.92
 00 02:00 		05/01 14:00 	        6 	        5 	   109.15	    63.43
