run,episodes,mean_reward,mean_task_score_percent,mean_coverage_percent,success_percent,timeout_percent,zero_coverage_timeout_percent,mean_steps,mean_info_gain
Fixed_LR_CTDE_PPO_seed42,600,-40.992755,53.459648,51.012295,61.500000,38.500000,3.500000,314.895000,0.000000
KL_LR_CTDE_PPO_seed42,600,-44.330386,45.693375,43.630749,53.000000,47.000000,11.666667,360.660000,0.000000
