Run: train_area_003_scenario_002_farsite
Farsite Fire Growth
	Note: Ignition acreage included
Ignition Acres: 4.46

Elapsed (DD HH:mm) 	Current(MM/DD HH:mm) 	Fires 	Enclaves 	Total Acres	Timestep Acres
 00 00:00 	Ignition
 00 01:00 		05/01 13:00 	        6 	        5 	    33.96	    29.50
 00 02:00 		05/01 14:00 	       12 	       11 	    89.97	    56.01
