Run: gen_area_006_scenario_003
Farsite Fire Growth
	Note: Ignition acreage included
Ignition Acres: 3.26

Elapsed (DD HH:mm) 	Current(MM/DD HH:mm) 	Fires 	Enclaves 	Total Acres	Timestep Acres
 00 00:00 	Ignition
 00 01:00 		05/01 13:00 	        5 	        3 	    52.60	    49.35
 00 02:00 		05/01 14:00 	        4 	        2 	   145.07	    92.46
