Run: train_area_004_scenario_004_farsite
Farsite Fire Growth
	Note: Ignition acreage included
Ignition Acres: 7.13

Elapsed (DD HH:mm) 	Current(MM/DD HH:mm) 	Fires 	Enclaves 	Total Acres	Timestep Acres
 00 00:00 	Ignition
 00 01:00 		05/01 13:00 	        3 	        1 	    82.51	    75.38
 00 02:00 		05/01 14:00 	       10 	        8 	   193.37	   110.87
