run,episodes,final_stage,ppo_updates,last_task_score_percent,last_coverage_percent,last_success_percent,last_timeout_percent,auc_task_score_percent,steps_to_threshold,tail_task_score_std_percent,kl_overshoot_percent
Fixed_LR_CTDE_PPO_seed42,400,1,21,51.622971,39.405275,66.000000,34.000000,33.455250,34788.000000,38.801457,0.000000
KL_LR_CTDE_PPO_seed42,600,2,30,64.820639,43.320611,90.000000,10.000000,31.321192,94870.000000,26.537810,0.000000
