Run: gen_area_007_scenario_001
Farsite Fire Growth
	Note: Ignition acreage included
Ignition Acres: 2.19

Elapsed (DD HH:mm) 	Current(MM/DD HH:mm) 	Fires 	Enclaves 	Total Acres	Timestep Acres
 00 00:00 	Ignition
 00 01:00 		05/01 13:00 	        3 	        2 	    30.13	    27.95
 00 02:00 		05/01 14:00 	        4 	        3 	    88.15	    58.01
