run,episodes,final_stage,ppo_updates,last_task_score_percent,last_coverage_percent,last_success_percent,last_timeout_percent,auc_task_score_percent,steps_to_threshold,tail_task_score_std_percent,kl_overshoot_percent
Fixed_LR_CTDE_PPO_seed42,3100,2,51,99.966667,100.000000,100.000000,0.000000,43.464772,40300.000000,0.000000,0.000000
KL_LR_CTDE_PPO_seed42,3100,2,27,99.966667,100.000000,100.000000,0.000000,43.957572,31956.000000,0.000000,0.000000
