Run: train_area_001_scenario_003_farsite
Farsite Fire Growth
	Note: Ignition acreage included
Ignition Acres: 3.09

Elapsed (DD HH:mm) 	Current(MM/DD HH:mm) 	Fires 	Enclaves 	Total Acres	Timestep Acres
 00 00:00 	Ignition
 00 01:00 		05/01 13:00 	        2 	        0 	   197.29	   194.20
