run,episodes,final_stage,ppo_updates,last_task_score_percent,last_coverage_percent,last_success_percent,last_timeout_percent,auc_task_score_percent,steps_to_threshold,tail_task_score_std_percent,kl_overshoot_percent
Fixed_LR_CTDE_PPO_seed42,2500,3,192,40.788223,33.497779,55.000000,45.000000,25.938878,6302.000000,32.797106,0.000000
KL_LR_CTDE_PPO_seed42,2500,3,197,35.414565,16.191796,62.000000,38.000000,22.375883,6302.000000,27.976055,0.507614
