run,episodes,mean_reward,mean_task_score_percent,mean_coverage_percent,success_percent,timeout_percent,zero_coverage_timeout_percent,mean_steps,mean_info_gain
Fixed_LR_CTDE_PPO_seed42,600,-71.396941,26.700528,30.418834,26.833333,73.166667,28.000000,496.766667,0.000000
KL_LR_CTDE_PPO_seed42,600,-99.192311,18.080732,19.440019,19.500000,80.500000,50.666667,524.678333,0.000000
