run,episodes,mean_reward,mean_task_score_percent,mean_coverage_percent,success_percent,timeout_percent,zero_coverage_timeout_percent,mean_steps,mean_info_gain
Fixed_LR_CTDE_PPO_seed42,600,-91.792020,16.702651,20.121746,14.500000,85.500000,48.333333,531.246667,0.000000
KL_LR_CTDE_PPO_seed42,600,-91.036515,25.111317,25.656857,28.666667,71.333333,45.833333,489.513333,0.000000
