run,episodes,mean_reward,mean_task_score_percent,mean_coverage_percent,success_percent,timeout_percent,zero_coverage_timeout_percent,mean_steps,mean_info_gain
Fixed_LR_CTDE_PPO_seed42,600,-80.992892,29.708412,34.713825,27.833333,72.166667,30.000000,479.955000,0.000000
KL_LR_CTDE_PPO_seed42,600,-92.602812,23.108351,26.200814,22.333333,77.666667,38.666667,500.761667,0.000000
