Run: gen_area_007_scenario_006
Farsite Fire Growth
	Note: Ignition acreage included
Ignition Acres: 1.93

Elapsed (DD HH:mm) 	Current(MM/DD HH:mm) 	Fires 	Enclaves 	Total Acres	Timestep Acres
 00 00:00 	Ignition
 00 01:00 		05/01 13:00 	        3 	        1 	    43.15	    41.22
 00 02:00 		05/01 14:00 	        3 	        1 	   156.71	   113.56
