Run: train_area_003_scenario_001_farsite
Farsite Fire Growth
	Note: Ignition acreage included
Ignition Acres: 4.80

Elapsed (DD HH:mm) 	Current(MM/DD HH:mm) 	Fires 	Enclaves 	Total Acres	Timestep Acres
 00 00:00 	Ignition
 00 01:00 		05/01 13:00 	        4 	        3 	    33.91	    29.11
 00 02:00 		05/01 14:00 	        4 	        3 	    67.97	    34.06
