Run: train_area_001_scenario_006_farsite
Farsite Fire Growth
	Note: Ignition acreage included
Ignition Acres: 3.33

Elapsed (DD HH:mm) 	Current(MM/DD HH:mm) 	Fires 	Enclaves 	Total Acres	Timestep Acres
 00 00:00 	Ignition
 00 01:00 		05/01 13:00 	        2 	        0 	    80.06	    76.73
 00 02:00 		05/01 14:00 	        3 	        1 	   250.60	   170.54
