Run: gen_area_006_scenario_001
Farsite Fire Growth
	Note: Ignition acreage included
Ignition Acres: 2.97

Elapsed (DD HH:mm) 	Current(MM/DD HH:mm) 	Fires 	Enclaves 	Total Acres	Timestep Acres
 00 00:00 	Ignition
 00 01:00 		05/01 13:00 	        1 	        0 	    32.56	    29.59
 00 02:00 		05/01 14:00 	        1 	        0 	    81.84	    49.28
