Run: train_area_002_scenario_003_farsite
Farsite Fire Growth
	Note: Ignition acreage included
Ignition Acres: 5.53

Elapsed (DD HH:mm) 	Current(MM/DD HH:mm) 	Fires 	Enclaves 	Total Acres	Timestep Acres
 00 00:00 	Ignition
 00 01:00 		05/01 13:00 	        2 	        0 	    48.91	    43.39
 00 02:00 		05/01 14:00 	        4 	        2 	   136.44	    87.53
