Run: stress_area_008_scenario_003
Farsite Fire Growth
	Note: Ignition acreage included
Ignition Acres: 3.62

Elapsed (DD HH:mm) 	Current(MM/DD HH:mm) 	Fires 	Enclaves 	Total Acres	Timestep Acres
 00 00:00 	Ignition
 00 01:00 		05/01 13:00 	        4 	        2 	   128.50	   124.88
 00 02:00 		05/01 14:00 	        7 	        5 	   363.30	   234.80
