Run: train_area_004_scenario_003_farsite
Farsite Fire Growth
	Note: Ignition acreage included
Ignition Acres: 4.68

Elapsed (DD HH:mm) 	Current(MM/DD HH:mm) 	Fires 	Enclaves 	Total Acres	Timestep Acres
 00 00:00 	Ignition
 00 01:00 		05/01 13:00 	        6 	        4 	    54.31	    49.63
 00 02:00 		05/01 14:00 	        5 	        3 	   119.86	    65.55
